rise_delay,fall_delay,rise_slew,fall_slew
1.000149e-10,2.001764e-10,1.935462e-10,3.587637e-10 
3.859872e-10,8.937454e-10,7.748853e-10,1.667882e-09 
6.327246e-11,1.461275e-10,1.189005e-10,2.297948e-10 
1.058287e-10,2.168001e-10,2.058801e-10,3.954406e-10 
2.79647e-10,6.035397e-10,3.373227e-10,1.113339e-09 
3.319825e-10,6.01305e-10,5.152888e-10,1.202565e-09 
3.943169e-11,3.658205e-10,2.35232e-10,6.034123e-10 
1.172212e-10,1.850124e-10,2.023154e-10,3.342804e-10 
3.190452e-10,8.252052e-10,4.201517e-10,1.480248e-09 
4.997831e-11,5.442114e-11,7.300489e-11,1.063421e-10 
2.339943e-10,5.187313e-10,3.737238e-10,1.025003e-09 
5.993559e-11,1.220881e-10,1.088418e-10,2.068493e-10 
4.325203e-10,9.268935e-10,6.182252e-10,1.780846e-09 
1.193919e-10,2.305433e-10,2.351283e-10,4.056435e-10 
1.026925e-09,2.666096e-09,1.740328e-09,5.267387e-09 
7.194368e-11,1.050635e-10,1.225081e-10,1.849617e-10 
2.469664e-10,9.09648e-10,5.310638e-10,1.792046e-09 
2.96925e-10,5.553293e-10,3.705352e-10,1.088448e-09 
1.825119e-10,3.219479e-10,2.552102e-10,4.986573e-10 
7.209374e-11,9.91851e-11,1.21776e-10,1.818108e-10 
2.502129e-10,5.243971e-10,4.547164e-10,9.689922e-10 
6.417335e-11,1.379404e-10,8.786543e-11,1.629424e-10 
1.827459e-10,3.902583e-10,3.10894e-10,6.035825e-10 
8.614607e-10,2.087685e-09,1.328132e-09,4.292465e-09 
3.777326e-10,9.216847e-10,5.186541e-10,1.753533e-09 
6.4165e-10,1.215792e-09,8.373078e-10,2.397293e-09 
1.732245e-10,1.869316e-10,2.451207e-10,3.462368e-10 
8.158452e-10,1.442359e-09,1.197342e-09,2.964268e-09 
9.369825e-11,1.769548e-10,1.792067e-10,2.979221e-10 
1.168541e-10,1.765078e-10,1.78058e-10,2.970001e-10 
2.617584e-10,1.710266e-09,6.792017e-10,3.218381e-09 
8.228938e-11,1.354038e-10,1.099705e-10,2.0946e-10 
1.891855e-10,6.266076e-10,4.48219e-10,1.237839e-09 
-1.295915e-10,3.126125e-10,2.516268e-10,4.587672e-10 
4.358474e-10,8.79964e-10,8.648353e-10,1.75779e-09 
1.109432e-10,1.828074e-10,2.13293e-10,3.599405e-10 
9.232211e-10,4.343767e-09,2.010298e-09,8.32511e-09 
3.857616e-11,7.736364e-11,4.659017e-11,1.113911e-10 
2.272575e-10,5.056601e-10,4.581829e-10,9.603393e-10 
9.574793e-10,2.045612e-09,1.417881e-09,3.916263e-09 
7.851456e-10,2.030937e-09,1.191041e-09,3.915549e-09 
1.242352e-09,4.402283e-09,2.324375e-09,8.327716e-09 
1.097182e-09,1.723766e-09,1.582126e-09,3.29162e-09 
8.833245e-10,1.666561e-09,1.274451e-09,3.238001e-09 
